,MatchID,OpponentID,Outcome,OwnScore,OpponentScore,Side,CoachID,Huskies_network_params,Opponent_network_params,Huskies_mean_50time,Opponent_mean_50time,time_lag
0,1,Opponent1,win,1,0,home,Coach1,"{'clustering_coeff': 0.09591148659543136, 'shortest_path': 0.37804536029949415, 'largest_eigenvalue': 7.359604734162079, 'algebraic_conn': 1.1641488681511871, 'eigen_cen_max': 0.5085886689772646, 'eigen_cen_std': 0.15200061113363472}","{'clustering_coeff': 0.12727017100674862, 'shortest_path': 0.3445846729155389, 'largest_eigenvalue': 4.163015274134865, 'algebraic_conn': 1.325098657851368, 'eigen_cen_max': 0.5124109852895035, 'eigen_cen_std': 0.13527198859305611}",691.1054819968653,1487.5861919591837,13.181913370538716
1,2,Opponent2,tie,1,1,away,Coach1,"{'clustering_coeff': 0.13558418994397967, 'shortest_path': 0.3413674939523983, 'largest_eigenvalue': 3.1714321027903534, 'algebraic_conn': 0.2854618050498139, 'eigen_cen_max': 0.45168818264922894, 'eigen_cen_std': 0.14540853964603737}","{'clustering_coeff': 0.15137551104001684, 'shortest_path': 0.3911169836207144, 'largest_eigenvalue': 9.47372940866721, 'algebraic_conn': 1.4826465014999997, 'eigen_cen_max': 0.4631499946758113, 'eigen_cen_std': 0.13520010066137303}",1283.008324969231,709.8929322568307,10.458256603030286
2,3,Opponent3,loss,0,2,away,Coach1,"{'clustering_coeff': 0.12456657946374812, 'shortest_path': 0.4402757068049834, 'largest_eigenvalue': 5.87989499707513, 'algebraic_conn': 0.7398352274006916, 'eigen_cen_max': 0.4181083895521756, 'eigen_cen_std': 0.10464388927552218}","{'clustering_coeff': 0.1305149813894459, 'shortest_path': 0.41908261333359453, 'largest_eigenvalue': 9.376457828101163, 'algebraic_conn': 1.2696427346758152, 'eigen_cen_max': 0.5077189722051898, 'eigen_cen_std': 0.14311912953227857}",786.0667625072992,604.8839163539193,-35.596033522727254
3,4,Opponent4,loss,0,3,home,Coach1,"{'clustering_coeff': 0.13348612342014946, 'shortest_path': 0.37677419753240726, 'largest_eigenvalue': 5.921895010220586, 'algebraic_conn': 1.493287894541791, 'eigen_cen_max': 0.36371821511622177, 'eigen_cen_std': 0.10946728155319294}","{'clustering_coeff': 0.10506435556251267, 'shortest_path': 0.4042787807053082, 'largest_eigenvalue': 6.008084038390082, 'algebraic_conn': 0.31305853848538023, 'eigen_cen_max': 0.4182869675550601, 'eigen_cen_std': 0.12359641656082056}",867.2461844605264,791.5182374983051,-32.36659921212123
4,5,Opponent5,loss,0,4,away,Coach1,"{'clustering_coeff': 0.05775955106122404, 'shortest_path': 0.404698756173643, 'largest_eigenvalue': 10.656033120944446, 'algebraic_conn': 1.6517925428426836, 'eigen_cen_max': 0.5661682690676192, 'eigen_cen_std': 0.1824556172094957}","{'clustering_coeff': 0.15634336311293281, 'shortest_path': 0.4827112328243189, 'largest_eigenvalue': 7.906744699335112, 'algebraic_conn': 0.48655921603750046, 'eigen_cen_max': 0.492752943933577, 'eigen_cen_std': 0.13927723602330672}",693.1821161716867,731.820698637771,18.000369802020174
5,6,Opponent6,win,2,1,home,Coach1,"{'clustering_coeff': 0.04983949345716724, 'shortest_path': 0.40919449996091234, 'largest_eigenvalue': 7.840419529508502, 'algebraic_conn': 0.9752615821846063, 'eigen_cen_max': 0.6207039055929435, 'eigen_cen_std': 0.16431245572685416}","{'clustering_coeff': 0.10560994011005738, 'shortest_path': 0.3699892345352498, 'largest_eigenvalue': 5.642292503601931, 'algebraic_conn': 0.5615990390387078, 'eigen_cen_max': 0.4632474362662987, 'eigen_cen_std': 0.15134663730524509}",844.1198565783583,925.8001599508196,-1.5549759663299696
6,7,Opponent7,loss,0,1,home,Coach1,"{'clustering_coeff': 0.14677023452394092, 'shortest_path': 0.37129195562529965, 'largest_eigenvalue': 7.193053273393392, 'algebraic_conn': 2.0403328637424543, 'eigen_cen_max': 0.4631746790279697, 'eigen_cen_std': 0.1261325626420271}","{'clustering_coeff': 0.14246380921457888, 'shortest_path': 0.32562731637669273, 'largest_eigenvalue': 3.4297360242564805, 'algebraic_conn': 1.658785365524744, 'eigen_cen_max': 0.40107893191377153, 'eigen_cen_std': 0.10497096892220308}",736.6554635658682,1400.5697920077519,-37.58156621212123
7,8,Opponent8,tie,1,1,away,Coach1,"{'clustering_coeff': 0.1327154835824708, 'shortest_path': 0.42020600036363165, 'largest_eigenvalue': 5.838466126731237, 'algebraic_conn': 0.41313391592740106, 'eigen_cen_max': 0.45081809215880775, 'eigen_cen_std': 0.14195599093613012}","{'clustering_coeff': 0.08982821072665237, 'shortest_path': 0.4434560183637689, 'largest_eigenvalue': 5.014755383829963, 'algebraic_conn': 0.3828917094998929, 'eigen_cen_max': 0.4004388755878021, 'eigen_cen_std': 0.13450354422809105}",885.0676731469388,974.3008737312776,8.388780259259256
8,9,Opponent9,loss,2,5,home,Coach1,"{'clustering_coeff': 0.1555078448769365, 'shortest_path': 0.35056418310116233, 'largest_eigenvalue': 3.2162382155684925, 'algebraic_conn': 0.15106435204397745, 'eigen_cen_max': 0.4885262635302142, 'eigen_cen_std': 0.1354096428137213}","{'clustering_coeff': 0.0840891692964789, 'shortest_path': 0.398449065937258, 'largest_eigenvalue': 9.5703688911921, 'algebraic_conn': 2.1527891910315833, 'eigen_cen_max': 0.4494061351467937, 'eigen_cen_std': 0.13016920886379266}",1613.4996723559323,596.1660396474501,-22.14849742777777
9,10,Opponent10,loss,0,2,away,Coach2,"{'clustering_coeff': 0.146907139385092, 'shortest_path': 0.416956449740764, 'largest_eigenvalue': 7.072204297937042, 'algebraic_conn': 1.1757964682752815, 'eigen_cen_max': 0.5038116586403161, 'eigen_cen_std': 0.13463495123406463}","{'clustering_coeff': 0.12328767678738196, 'shortest_path': 0.5004170059854746, 'largest_eigenvalue': 4.27244066222109, 'algebraic_conn': 0.19577420916577828, 'eigen_cen_max': 0.39860772847338205, 'eigen_cen_std': 0.13385252043369592}",731.4538406504855,1237.5347374268292,38.033974271717256
